,full.name,PA,run,algo,expl.var,rand,var.imp
176,blackmat_allData_RUN3_MAXNET,allData,RUN3,MAXNET,Average_GCW,3,0.289633
177,blackmat_allData_RUN3_MAXNET,allData,RUN3,MAXNET,Average_snow,3,0.62929
178,blackmat_allData_RUN3_MAXNET,allData,RUN3,MAXNET,Elevation,3,0.012439
179,blackmat_allData_RUN3_MAXNET,allData,RUN3,MAXNET,Slope,3,0.011764
180,blackmat_allData_RUN3_MAXNET,allData,RUN3,MAXNET,Aspect,3,0.038296
181,blackmat_allData_RUN4_GAM,allData,RUN4,GAM,Average_GCW,1,0.377821
182,blackmat_allData_RUN4_GAM,allData,RUN4,GAM,Average_snow,1,0.519375
183,blackmat_allData_RUN4_GAM,allData,RUN4,GAM,Elevation,1,0.101643
184,blackmat_allData_RUN4_GAM,allData,RUN4,GAM,Slope,1,0.055344
185,blackmat_allData_RUN4_GAM,allData,RUN4,GAM,Aspect,1,0.085692
186,blackmat_allData_RUN4_GAM,allData,RUN4,GAM,Average_GCW,2,0.363483
187,blackmat_allData_RUN4_GAM,allData,RUN4,GAM,Average_snow,2,0.515853
188,blackmat_allData_RUN4_GAM,allData,RUN4,GAM,Elevation,2,0.099682
189,blackmat_allData_RUN4_GAM,allData,RUN4,GAM,Slope,2,0.054212
190,blackmat_allData_RUN4_GAM,allData,RUN4,GAM,Aspect,2,0.083331
191,blackmat_allData_RUN4_GAM,allData,RUN4,GAM,Average_GCW,3,0.367002
192,blackmat_allData_RUN4_GAM,allData,RUN4,GAM,Average_snow,3,0.525216
193,blackmat_allData_RUN4_GAM,allData,RUN4,GAM,Elevation,3,0.101028
194,blackmat_allData_RUN4_GAM,allData,RUN4,GAM,Slope,3,0.057869
195,blackmat_allData_RUN4_GAM,allData,RUN4,GAM,Aspect,3,0.08594
196,blackmat_allData_RUN4_GBM,allData,RUN4,GBM,Average_GCW,1,0.361023
197,blackmat_allData_RUN4_GBM,allData,RUN4,GBM,Average_snow,1,0.576073
198,blackmat_allData_RUN4_GBM,allData,RUN4,GBM,Elevation,1,0.008927
199,blackmat_allData_RUN4_GBM,allData,RUN4,GBM,Slope,1,0.027866
200,blackmat_allData_RUN4_GBM,allData,RUN4,GBM,Aspect,1,0.016897
201,blackmat_allData_RUN4_GBM,allData,RUN4,GBM,Average_GCW,2,0.356717
202,blackmat_allData_RUN4_GBM,allData,RUN4,GBM,Average_snow,2,0.594129
203,blackmat_allData_RUN4_GBM,allData,RUN4,GBM,Elevation,2,0.009496
204,blackmat_allData_RUN4_GBM,allData,RUN4,GBM,Slope,2,0.025959
205,blackmat_allData_RUN4_GBM,allData,RUN4,GBM,Aspect,2,0.016876
206,blackmat_allData_RUN4_GBM,allData,RUN4,GBM,Average_GCW,3,0.353048
207,blackmat_allData_RUN4_GBM,allData,RUN4,GBM,Average_snow,3,0.583189
208,blackmat_allData_RUN4_GBM,allData,RUN4,GBM,Elevation,3,0.009838
209,blackmat_allData_RUN4_GBM,allData,RUN4,GBM,Slope,3,0.026966
210,blackmat_allData_RUN4_GBM,allData,RUN4,GBM,Aspect,3,0.015626
211,blackmat_allData_RUN4_RF,allData,RUN4,RF,Average_GCW,1,0.144964
212,blackmat_allData_RUN4_RF,allData,RUN4,RF,Average_snow,1,0.737857
213,blackmat_allData_RUN4_RF,allData,RUN4,RF,Elevation,1,0.034992
214,blackmat_allData_RUN4_RF,allData,RUN4,RF,Slope,1,0.029925
215,blackmat_allData_RUN4_RF,allData,RUN4,RF,Aspect,1,0.036317
216,blackmat_allData_RUN4_RF,allData,RUN4,RF,Average_GCW,2,0.153159
217,blackmat_allData_RUN4_RF,allData,RUN4,RF,Average_snow,2,0.751523
218,blackmat_allData_RUN4_RF,allData,RUN4,RF,Elevation,2,0.036143
219,blackmat_allData_RUN4_RF,allData,RUN4,RF,Slope,2,0.030148
220,blackmat_allData_RUN4_RF,allData,RUN4,RF,Aspect,2,0.034879
221,blackmat_allData_RUN4_RF,allData,RUN4,RF,Average_GCW,3,0.154283
222,blackmat_allData_RUN4_RF,allData,RUN4,RF,Average_snow,3,0.754205
223,blackmat_allData_RUN4_RF,allData,RUN4,RF,Elevation,3,0.036918
224,blackmat_allData_RUN4_RF,allData,RUN4,RF,Slope,3,0.029954
225,blackmat_allData_RUN4_RF,allData,RUN4,RF,Aspect,3,0.038981
226,blackmat_allData_RUN4_MAXNET,allData,RUN4,MAXNET,Average_GCW,1,0.221534
227,blackmat_allData_RUN4_MAXNET,allData,RUN4,MAXNET,Average_snow,1,0.749855
228,blackmat_allData_RUN4_MAXNET,allData,RUN4,MAXNET,Elevation,1,0.02086
229,blackmat_allData_RUN4_MAXNET,allData,RUN4,MAXNET,Slope,1,0.005945
230,blackmat_allData_RUN4_MAXNET,allData,RUN4,MAXNET,Aspect,1,0.018401
231,blackmat_allData_RUN4_MAXNET,allData,RUN4,MAXNET,Average_GCW,2,0.235005
232,blackmat_allData_RUN4_MAXNET,allData,RUN4,MAXNET,Average_snow,2,0.702429
233,blackmat_allData_RUN4_MAXNET,allData,RUN4,MAXNET,Elevation,2,0.021173
234,blackmat_allData_RUN4_MAXNET,allData,RUN4,MAXNET,Slope,2,0.006405
235,blackmat_allData_RUN4_MAXNET,allData,RUN4,MAXNET,Aspect,2,0.018447
236,blackmat_allData_RUN4_MAXNET,allData,RUN4,MAXNET,Average_GCW,3,0.24403
237,blackmat_allData_RUN4_MAXNET,allData,RUN4,MAXNET,Average_snow,3,0.751818
238,blackmat_allData_RUN4_MAXNET,allData,RUN4,MAXNET,Elevation,3,0.020631
239,blackmat_allData_RUN4_MAXNET,allData,RUN4,MAXNET,Slope,3,0.006253
240,blackmat_allData_RUN4_MAXNET,allData,RUN4,MAXNET,Aspect,3,0.018032
