"","species","long_degrees","lat_degrees","presence"
"1842","mat",163.015975928526,-77.6352476058826,0
"1843","mat",163.257191834368,-77.6432240106585,0
"1844","mat",163.260508781572,-77.6210227113998,0
"1845","mat",163.01855919618,-77.6349235718785,0
"1846","mat",163.285722207885,-77.6349506284313,0
"1847","mat",163.264908516792,-77.6113243559135,0
"1848","mat",163.220847325233,-77.6253255970483,0
"1849","mat",163.052986695118,-77.6078922874781,0
"1850","mat",163.271634033277,-77.635959868212,0
"1851","mat",163.284259906051,-77.6206674748663,0
"1852","mat",163.235299906761,-77.6430092936994,0
"1853","mat",163.271634953163,-77.6279239438745,0
"1854","mat",163.050076976432,-77.6373546755188,0
"1855","mat",163.231457764872,-77.648756495794,0
"1856","mat",163.292013879387,-77.6026023662385,0
"1857","mat",163.346811200165,-77.6099191427035,0
"1858","mat",163.045199081181,-77.6414608896469,0
"1859","mat",163.216765734106,-77.6202079103863,0
"1860","mat",163.293038207393,-77.6109828758772,0
"1861","mat",163.116192751832,-77.6415647141417,0
"1862","mat",163.029858390172,-77.6076661524151,0
"1863","mat",163.151414845438,-77.6412789715229,0
"1864","mat",163.257614858419,-77.6165289768352,0
"1865","mat",163.256212573985,-77.6171643274159,0
"1866","mat",163.057837326671,-77.6249223982018,0
"1867","mat",163.280533133487,-77.5984987990658,0
"1868","mat",163.057407417283,-77.6004687154311,0
"1869","mat",163.173044919878,-77.6439820716478,0
"1870","mat",163.040763660124,-77.6096510563925,0
"1871","mat",163.056075457554,-77.6156012471699,0
"1872","mat",163.049452953989,-77.6045520369463,0
"1873","mat",163.347966719623,-77.5948893431024,0
"1874","mat",163.016487067567,-77.6395428116383,0
"1875","mat",163.093071605109,-77.6028435017228,0
"1876","mat",163.027241127029,-77.6035186505836,0
"1877","mat",163.014525897426,-77.6072345010604,0
"1878","mat",163.166082309125,-77.6498463972846,0
"1879","mat",163.188923801867,-77.5842399098148,0
"1880","mat",163.073706450276,-77.6561285933684,0
"1881","mat",163.301687256777,-77.5970359794307,0
"1882","mat",163.287296693043,-77.620094152672,0
"1883","mat",163.316956057031,-77.612405817677,0
"1884","mat",163.076446339691,-77.642387803486,0
"1885","mat",163.298200300287,-77.6026428620707,0
"1886","mat",163.045092895227,-77.6127787555096,0
"1887","mat",163.181586972614,-77.6272451104531,0
"1888","mat",163.231955739578,-77.582406520526,0
"1889","mat",163.316899448516,-77.6134193319681,0
"1890","mat",163.217612876287,-77.5902971608497,0
"1891","mat",163.030053383045,-77.6120324055871,0
"1892","mat",163.125670530314,-77.6235333198411,0
"1893","mat",163.141164774009,-77.6451999548652,0
"1894","mat",163.124218509886,-77.5945765715994,0
"1895","mat",163.037747662053,-77.6322661452227,0
"1896","mat",163.057633972292,-77.628312000457,0
"1897","mat",163.179532820556,-77.6452818080385,0
"1898","mat",163.184467487506,-77.6301324663201,0
"1899","mat",163.328010308739,-77.6153221046782,0
"1900","mat",163.187204639879,-77.5935757634288,0
"1901","mat",163.252988623521,-77.6126021977489,0
"1902","mat",163.186521778584,-77.6415132527849,0
"1903","mat",163.20802599748,-77.58523890759,0
"1904","mat",163.153718979006,-77.6219838589801,0
"1905","mat",163.177110773584,-77.5951568048965,0
"1906","mat",163.24777710935,-77.5863523827997,0
"1907","mat",163.347448457785,-77.6052340692517,0
"1908","mat",163.318595686667,-77.5923427117524,0
"1909","mat",163.293788798432,-77.6135298679285,0
"1910","mat",163.192573537694,-77.6433735765716,0
"1911","mat",163.30651368688,-77.590269626195,0
"1912","mat",163.088490158634,-77.6288546241658,0
"1913","mat",163.20950929627,-77.595608887269,0
"1914","mat",163.274359419704,-77.5985626691887,0
"1915","mat",163.145650045188,-77.6014048782734,0
"1916","mat",163.182170163456,-77.6420910970476,0
"1917","mat",163.118136640173,-77.6432337478103,0
"1918","mat",163.194787679746,-77.6426302212274,0
"1919","mat",163.194778152153,-77.6271178699609,0
"1920","mat",163.300252867151,-77.6020391176144,0
"1921","mat",163.143035486665,-77.5941139882469,0
"1922","mat",163.010365234537,-77.6445613090112,0
"1923","mat",163.229197183624,-77.5890921779083,0
"1924","mat",163.197301822301,-77.6262333765152,0
"1925","mat",163.177298465142,-77.6475623766713,0
"1926","mat",163.013830880634,-77.6349411462531,0
"1927","mat",163.214336049391,-77.6439416668682,0
"1928","mat",163.0927837189,-77.6276147062741,0
"1929","mat",163.178008429507,-77.6203778550808,0
"1930","mat",163.259975286154,-77.5962187717777,0
"1931","mat",163.144353936996,-77.6372209469278,0
"1932","mat",163.031841801727,-77.6476952708712,0
"1933","mat",163.330284741344,-77.6291121496184,0
"1934","mat",163.246413023467,-77.6103263730712,0
"1935","mat",163.040416173442,-77.6408502737553,0
"1936","mat",163.013404405882,-77.6377375901222,0
"1937","mat",163.168299577734,-77.6473563783153,0
"1938","mat",163.32627311404,-77.6112076929535,0
"1939","mat",163.044851718375,-77.650999779693,0
"1940","mat",163.156919233728,-77.6178127772881,0
"1941","mat",163.259239216068,-77.6229851305162,0
"1942","mat",163.144590308968,-77.6380235138681,0
"1943","mat",163.172983099963,-77.5979696013574,0
"1944","mat",163.12632852471,-77.6417677262231,0
"1945","mat",163.136587617838,-77.6541279799212,0
"1946","mat",163.283098016513,-77.6108900430195,0
"1947","mat",163.319693687233,-77.6074661397581,0
"1948","mat",163.197179992411,-77.5924839868614,0
"1949","mat",163.219706687813,-77.6353928711583,0
"1950","mat",163.114624597524,-77.6275963570562,0
"1951","mat",163.278097316285,-77.6049389726686,0
"1952","mat",163.264437610918,-77.6325343134365,0
"1953","mat",163.090568927453,-77.5964950696474,0
"1954","mat",163.340889144163,-77.6215482845213,0
"1955","mat",163.240421047559,-77.6320853427222,0
"1956","mat",163.280975505509,-77.6220105791319,0
"1957","mat",163.094164706048,-77.6341073952977,0
"1958","mat",163.041881508138,-77.6309927211308,0
"1959","mat",163.216918331175,-77.5932001199133,0
"1960","mat",163.201304616446,-77.5846048231801,0
"1961","mat",163.348803596189,-77.6042141176152,0
"1962","mat",163.148691454916,-77.5937408336885,0
"1963","mat",163.14838908837,-77.6385316466353,0
"1964","mat",163.337711856804,-77.6253722882052,0
"1965","mat",163.32168923946,-77.5985818719107,0
"1966","mat",163.275209541602,-77.6310168398213,0
"1967","mat",163.098749741679,-77.6492166014033,0
"1968","mat",163.2352406355,-77.6109361927137,0
"1969","mat",163.206711701188,-77.5867820016575,0
"1970","mat",163.078118003975,-77.6048944060051,0
"1971","mat",163.285342965483,-77.5914534437109,0
"1972","mat",163.345257174234,-77.6090882559403,0
"1973","mat",163.10292405238,-77.6038868695819,0
"1974","mat",163.331987867553,-77.6236532794247,0
"1975","mat",163.318683860036,-77.6118035047342,0
"1976","mat",163.258229156705,-77.617783935278,0
"1977","mat",163.06813965015,-77.6483246112931,0
"1978","mat",163.085062555999,-77.6438909722295,0
"1979","mat",163.252862028393,-77.6407282979905,0
"1980","mat",163.188564905994,-77.592486765726,0
"1981","mat",163.143296347433,-77.5951959452969,0
"1982","mat",163.073459033336,-77.6074980738413,0
"1983","mat",163.164322855126,-77.59049519131,0
"1984","mat",163.177323454722,-77.6182845538983,0
"1985","mat",163.141423606671,-77.6516273212437,0
"1986","mat",163.06421829094,-77.6098400730349,0
"1987","mat",163.097575467572,-77.6507235912234,0
"1988","mat",163.331379875809,-77.599478081026,0
"1989","mat",163.238997718267,-77.6160201559864,0
"1990","mat",163.347404989462,-77.6002728402707,0
"1991","mat",163.302081637886,-77.6087037661498,0
"1992","mat",163.250270951625,-77.634381344297,0
