"","Model.name","Algo","Run","Dataset","Expl.var","Rand","Var.imp"
"184","AllData_RUN2_SRE","SRE","RUN2","AllData","Slope","rand1",0.186633
"185","AllData_RUN2_SRE","SRE","RUN2","AllData","Aspect","rand2",0.471318
"186","AllData_RUN2_SRE","SRE","RUN2","AllData","Average_GCW","rand2",0.065643
"187","AllData_RUN2_SRE","SRE","RUN2","AllData","Elevation","rand2",0.327173
"188","AllData_RUN2_SRE","SRE","RUN2","AllData","Slope","rand2",0.182132
"189","AllData_RUN2_SRE","SRE","RUN2","AllData","Aspect","rand3",0.462393
"190","AllData_RUN2_SRE","SRE","RUN2","AllData","Average_GCW","rand3",0.066387
"191","AllData_RUN2_SRE","SRE","RUN2","AllData","Elevation","rand3",0.327758
"192","AllData_RUN2_SRE","SRE","RUN2","AllData","Slope","rand3",0.190474
"193","AllData_RUN2_FDA","FDA","RUN2","AllData","Aspect","rand1",0.00886799999999999
"194","AllData_RUN2_FDA","FDA","RUN2","AllData","Average_GCW","rand1",0.950508
"195","AllData_RUN2_FDA","FDA","RUN2","AllData","Elevation","rand1",0.00494899999999998
"196","AllData_RUN2_FDA","FDA","RUN2","AllData","Slope","rand1",0.025933
"197","AllData_RUN2_FDA","FDA","RUN2","AllData","Aspect","rand2",0.00887099999999996
"198","AllData_RUN2_FDA","FDA","RUN2","AllData","Average_GCW","rand2",0.944059
"199","AllData_RUN2_FDA","FDA","RUN2","AllData","Elevation","rand2",0.00496099999999999
"200","AllData_RUN2_FDA","FDA","RUN2","AllData","Slope","rand2",0.025819
"201","AllData_RUN2_FDA","FDA","RUN2","AllData","Aspect","rand3",0.008849
"202","AllData_RUN2_FDA","FDA","RUN2","AllData","Average_GCW","rand3",0.958527
"203","AllData_RUN2_FDA","FDA","RUN2","AllData","Elevation","rand3",0.00491900000000001
"204","AllData_RUN2_FDA","FDA","RUN2","AllData","Slope","rand3",0.026461
"205","AllData_RUN2_MARS","MARS","RUN2","AllData","Aspect","rand1",0.19066
