"","SD","species","long_degrees","lat_degrees","presence"
"354",911,"mat",163.2601736,-77.63716591,1
"355",674,"mat",163.0601156,-77.59979441,1
"356",484,"mat",163.122865,-77.65411472,1
"357",733,"mat",163.2636787,-77.6428098,1
"358",902,"mat",163.1449045,-77.64682638,1
"359",187,"mat",163.0593973,-77.60671457,1
"360",381,"mat",163.2235927,-77.59998316,1
"361",992,"mat",163.2421488,-77.64130124,1
"362",193,"mat",163.0802083,-77.61407442,1
"363",658,"mat",163.0541477,-77.62367896,1
"364",616,"mat",163.2104677,-77.63092693,1
"365",836,"mat",163.2122291,-77.6322817,1
"366",923,"mat",163.2386628,-77.61427476,1
"367",678,"mat",163.0690182,-77.62225865,1
"368",974,"mat",163.1562378,-77.64580049,1
"369",675,"mat",163.2608315,-77.5950269,1
"370",174,"mat",163.2071051,-77.6485156,1
"371",195,"mat",163.1733822,-77.59353082,1
"372",607,"mat",163.0460027,-77.617841,1
"373",475,"mat",163.2940884,-77.58956028,1
"374",405,"mat",163.2824378,-77.63154204,1
"375",661,"mat",163.02501,-77.63203472,1
"376",634,"mat",163.2013366,-77.649659,1
"377",846,"mat",163.2020833,-77.65063398,1
"378",160,"mat",163.2465417,-77.62475536,1
"379",297,"mat",163.0697202,-77.61519876,1
"380",961,"mat",163.2035368,-77.65216487,1
"381",676,"mat",163.2010871,-77.65046367,1
"382",831,"mat",163.0332346,-77.61310339,1
"383",883,"mat",163.1997618,-77.65197181,1
"384",153,"mat",163.0808103,-77.59646407,1
"385",526,"mat",163.204683,-77.65219476,1
"386",165,"mat",163.207425,-77.58744266,1
"387",400,"mat",163.1581732,-77.59254777,1
"388",287,"mat",163.191747,-77.58489138,1
"389",871,"mat",163.2400028,-77.614653,1
"390",568,"mat",163.0000202,-77.60899991,1
"391",458,"mat",163.0526353,-77.61341356,1
"392",303,"mat",163.2675488,-77.6003763,1
"393",506,"mat",163.0487415,-77.61748114,1
"394",271,"mat",163.0325876,-77.63693217,1
"395",810,"mat",163.1119814,-77.62351952,1
"396",724,"mat",163.1275741,-77.64291552,1
"397",184,"mat",163.10371,-77.59986597,1
"398",892,"mat",163.2083701,-77.64470178,1
"399",635,"mat",163.2547184,-77.61035818,1
"400",841,"mat",163.2167923,-77.63561549,1
"401",480,"mat",163.0815134,-77.61410419,1
"402",241,"mat",163.275212,-77.62462302,1
"403",415,"mat",163.1810754,-77.6356673,1
"404",874,"mat",163.2024389,-77.6492349,1
"405",709,"mat",163.2220672,-77.63450888,1
"406",263,"mat",163.1622798,-77.58949073,1
"407",977,"mat",163.2109099,-77.64395685,1
"408",555,"mat",163.2078556,-77.65291448,1
"409",383,"mat",163.2541989,-77.61004613,1
"410",818,"mat",163.0603795,-77.61450154,1
