"","SD","species","long_degrees","lat_degrees","presence"
"291",3054,"mat",163.2048256,-77.63839364,0
"292",9235,"mat",163.2216919,-77.64740274,0
"293",9733,"mat",163.2276888,-77.61862174,0
"294",2909,"mat",163.1172188,-77.62377764,0
"295",2886,"mat",163.1280918,-77.64322782,0
"296",5158,"mat",163.1347324,-77.59037549,0
"297",4462,"mat",163.2090831,-77.63009455,0
"298",3734,"mat",163.2700177,-77.60710798,0
"299",6700,"mat",163.1907675,-77.63810584,0
"300",4238,"mat",163.1563987,-77.64223619,0
"301",6313,"mat",163.1213812,-77.6338923,0
"302",2337,"mat",163.0501828,-77.61523968,0
"303",9935,"mat",163.0830766,-77.65113071,0
"304",10177,"mat",163.1593123,-77.64550798,0
"305",10106,"mat",163.274798,-77.60128584,0
"306",3003,"mat",163.2771669,-77.592575,0
"307",9858,"mat",163.0578657,-77.62719314,0
"308",1074,"mat",163.1026202,-77.60413266,0
"309",10480,"mat",163.1871488,-77.61883595,0
"310",10645,"mat",163.2718754,-77.63190585,0
"311",2371,"mat",163.2313233,-77.59753762,0
"312",2067,"mat",163.2987682,-77.6349239,0
"313",4263,"mat",163.1924812,-77.63897182,0
"314",7164,"mat",163.12908,-77.60164868,0
"315",6658,"mat",163.2115011,-77.59434227,0
"316",2851,"mat",163.177259,-77.64019071,0
"317",5141,"mat",163.201833,-77.59354658,0
"318",7178,"mat",163.1152574,-77.64572602,0
"319",8985,"mat",163.1761264,-77.58810368,0
"320",6014,"mat",163.0703943,-77.6135541,0
"321",1964,"mat",163.3377119,-77.62537229,0
"322",10779,"mat",163.0506011,-77.61439961,0
"323",8148,"mat",163.300668,-77.60919966,0
"324",8706,"mat",163.1970362,-77.65079585,0
"325",1052,"mat",163.0224759,-77.63295254,0
"326",2068,"mat",163.0813905,-77.59943136,0
"327",8897,"mat",163.0714058,-77.623507,0
"328",6689,"mat",163.1055981,-77.62875101,0
"329",5794,"mat",163.3300163,-77.60196544,0
"330",7047,"mat",163.0539295,-77.63272827,0
"331",7368,"mat",163.3214417,-77.61325762,0
"332",3344,"mat",163.3494966,-77.58792876,0
"333",8971,"mat",163.2002592,-77.62988888,0
"334",8748,"mat",163.056117,-77.60253495,0
"335",6663,"mat",163.2898304,-77.61938342,0
"336",7849,"mat",163.2105124,-77.6212489,0
"337",2589,"mat",163.1813939,-77.59402027,0
"338",3776,"mat",163.218293,-77.6157989,0
"339",1486,"mat",163.1876042,-77.61848459,0
"340",4044,"mat",163.2357961,-77.5834722,0
"341",9231,"mat",163.2533314,-77.64215863,0
"342",3085,"mat",163.2162122,-77.63299771,0
"343",3752,"mat",163.0786394,-77.59769544,0
"344",7861,"mat",163.3144172,-77.6052555,0
"345",8042,"mat",163.1124063,-77.59888733,0
"346",3264,"mat",163.1551192,-77.58938144,0
"347",8194,"mat",163.2927835,-77.61325512,0
"348",4267,"mat",163.235937,-77.61470638,0
"349",8611,"mat",163.2115906,-77.63242429,0
"350",5671,"mat",163.1552555,-77.62274599,0
"351",2497,"mat",163.3456097,-77.62910699,0
"352",1287,"mat",163.1593574,-77.65305427,0
"353",3686,"mat",163.0850881,-77.60836042,0
"354",7363,"mat",163.241778,-77.62931905,0
"355",3759,"mat",163.2121985,-77.62690138,0
"356",7191,"mat",163.0289966,-77.60906684,0
