"","SD","species","long_degrees","lat_degrees","presence"
"216",9055,"mat",163.2740656,-77.63741598,0
"217",6879,"mat",163.1832487,-77.58608138,0
"218",7560,"mat",163.1705653,-77.63840269,0
"219",3306,"mat",163.2974784,-77.63506978,0
"220",6937,"mat",163.1602272,-77.61835774,0
"221",9866,"mat",163.076115,-77.64993538,0
"222",8114,"mat",163.2601872,-77.63080701,0
"223",9887,"mat",163.2092797,-77.61859908,0
"224",10969,"mat",163.0243322,-77.64370585,0
"225",2493,"mat",163.2617245,-77.62339292,0
"226",3387,"mat",163.0748993,-77.60721291,0
"227",3504,"mat",163.3167356,-77.59476252,0
"228",4501,"mat",163.3103009,-77.61104028,0
"229",9288,"mat",163.3074813,-77.59802148,0
"230",5351,"mat",163.3291256,-77.62894309,0
"231",8561,"mat",163.3442731,-77.61206298,0
"232",10899,"mat",163.249992,-77.62994543,0
"233",2599,"mat",163.3419684,-77.60725265,0
"234",7953,"mat",163.0674865,-77.6329901,0
"235",4004,"mat",163.0634284,-77.63705853,0
"236",1415,"mat",163.079689,-77.60045126,0
"237",3379,"mat",163.2230224,-77.60917445,0
"238",7505,"mat",163.1296291,-77.59689498,0
"239",1018,"mat",163.314946,-77.59630849,0
"240",1474,"mat",163.1958996,-77.58585144,0
"241",9641,"mat",163.1917268,-77.58639379,0
"242",8331,"mat",163.0481226,-77.60420779,0
"243",4958,"mat",163.34063,-77.60233274,0
"244",2565,"mat",163.1795616,-77.65426066,0
"245",7397,"mat",163.0656678,-77.60773824,0
"246",2955,"mat",163.0624048,-77.64038145,0
"247",7185,"mat",163.2743141,-77.60453741,0
"248",9697,"mat",163.1257434,-77.60071918,0
"249",5349,"mat",163.2555649,-77.64001713,0
"250",6543,"mat",163.3265189,-77.62741842,0
"251",1981,"mat",163.1432963,-77.59519595,0
"252",4602,"mat",163.1217633,-77.59986216,0
"253",2981,"mat",163.3176814,-77.60845417,0
"254",7457,"mat",163.0603056,-77.60590751,0
"255",8469,"mat",163.348271,-77.62808062,0
"256",5488,"mat",163.3427554,-77.61462105,0
"257",10290,"mat",163.343296,-77.61510755,0
"258",2004,"mat",163.2140559,-77.63262298,0
"259",2033,"mat",163.0185761,-77.60700979,0
"260",8558,"mat",163.3353308,-77.60298765,0
"261",8401,"mat",163.2929472,-77.62275776,0
"262",8662,"mat",163.324213,-77.5978359,0
"263",3066,"mat",163.080742,-77.60324201,0
"264",8854,"mat",163.0285763,-77.63376812,0
"265",1825,"mat",163.1609806,-77.59302494,0
"266",8824,"mat",163.2107852,-77.62407767,0
"267",3052,"mat",163.0654977,-77.63453505,0
"268",8680,"mat",163.2789897,-77.59291583,0
"269",8139,"mat",163.2014221,-77.58753908,0
"270",5540,"mat",163.0943726,-77.60283828,0
"271",6312,"mat",163.3446512,-77.60951052,0
"272",7730,"mat",163.1551474,-77.60031669,0
"273",9320,"mat",163.281946,-77.60757626,0
"274",5926,"mat",163.2385161,-77.59296305,0
"275",7867,"mat",163.1807013,-77.58490456,0
"276",2239,"mat",163.2158983,-77.58600744,0
"277",8911,"mat",163.2243704,-77.58624899,0
"278",5698,"mat",163.1614239,-77.59959128,0
"279",9064,"mat",163.3437859,-77.61664248,0
"280",2422,"mat",163.1742648,-77.58730815,0
"281",10144,"mat",163.2192224,-77.61362859,0
"282",1115,"mat",163.1746817,-77.65099751,0
"283",9981,"mat",163.1663494,-77.59307189,0
"284",9162,"mat",163.2170167,-77.59253586,0
"285",3816,"mat",163.0720466,-77.61001905,0
"286",4425,"mat",163.1385105,-77.59441243,0
"287",8054,"mat",163.0643189,-77.60910602,0
"288",2667,"mat",163.2615596,-77.62175157,0
"289",4063,"mat",163.0900175,-77.62954727,0
"290",4519,"mat",163.3395922,-77.62466428,0
"291",4995,"mat",163.300117,-77.62433093,0
"292",10835,"mat",163.322907,-77.60088197,0
"293",2523,"mat",163.1146721,-77.63730861,0
"294",6862,"mat",163.1826348,-77.64355647,0
"295",4451,"mat",163.2174679,-77.62072885,0
"296",10347,"mat",163.1194444,-77.59208077,0
"297",4321,"mat",163.191689,-77.59114549,0
