OID_,pointid,grid_code,longitude,lattitude
152,533347,1,163.072981940000005,-77.615255829999995
153,533476,1,163.239666929999999,-77.614549710000006
154,533843,1,163.040589839999996,-77.615416159999995
155,533844,1,163.040752629999986,-77.615415540000001
156,533845,1,163.040915420000005,-77.615414920000006
157,533846,1,163.041078220000003,-77.615414299999998
158,533960,1,163.071194249999991,-77.615297780000006
159,533970,1,163.072822129999992,-77.615291389999996
160,534490,1,163.040592739999994,-77.615451089999993
161,534492,1,163.040918320000003,-77.615449850000005
162,534493,1,163.041081109999993,-77.615449229999996
163,534609,1,163.071360019999986,-77.615332069999994
164,535148,1,163.040595630000013,-77.615486009999998
165,535149,1,163.040758420000003,-77.615485390000003
166,535150,1,163.040921209999993,-77.615484769999995
167,535281,1,163.071362999999991,-77.615366989999998
168,535779,1,163.040761309999994,-77.615520320000002
169,535780,1,163.040924100000012,-77.615519699999993
170,537067,1,163.040767100000011,-77.615590170000004
171,537201,1,163.071534719999988,-77.615471130000003
172,537683,1,163.040444400000013,-77.615626340000006
173,537684,1,163.040607200000011,-77.615625710000003
174,537685,1,163.040769990000001,-77.615625089999995
175,538014,1,163.263618339999994,-77.614684440000005
176,538305,1,163.040610090000001,-77.615660640000002
177,538309,1,163.041424059999997,-77.615657540000001
178,538310,1,163.041586849999987,-77.615656909999998
179,538629,1,163.263621849999993,-77.614719370000003
180,538630,1,163.263784619999996,-77.614718609999997
181,538928,1,163.040612979999992,-77.615695560000006
182,538933,1,163.041426959999995,-77.615692460000005
183,539546,1,163.041267059999996,-77.615728009999998
184,539547,1,163.041429849999986,-77.615727390000004
185,540802,1,163.040784459999998,-77.615799719999998
186,541389,1,163.040624549999990,-77.615835259999997
187,541390,1,163.040787349999988,-77.615834640000003
188,541391,1,163.040950149999986,-77.615834019999994
189,541392,1,163.041112940000005,-77.615833400000000
190,541393,1,163.041275740000003,-77.615832780000005
191,541394,1,163.041438540000001,-77.615832159999997
192,542020,1,163.040464649999990,-77.615870810000004
193,542021,1,163.040627449999988,-77.615870189999995
194,542022,1,163.040790240000007,-77.615869570000001
195,542023,1,163.040953040000005,-77.615868950000007
196,542024,1,163.041115840000003,-77.615868329999998
197,542025,1,163.041278629999994,-77.615867710000003
198,542026,1,163.041441429999992,-77.615867089999995
199,542646,1,163.040467540000009,-77.615905729999994
200,542647,1,163.040630340000007,-77.615905110000000
201,542648,1,163.040793129999997,-77.615904490000005
202,542649,1,163.040955929999996,-77.615903869999997
203,542650,1,163.041118729999994,-77.615903250000002
204,542651,1,163.041281529999992,-77.615902629999994
205,542652,1,163.041444329999990,-77.615902009999999
206,543237,1,163.040470429999999,-77.615940660000007
207,543238,1,163.040633229999997,-77.615940039999998
208,543239,1,163.040796029999996,-77.615939420000004
209,543240,1,163.040958829999994,-77.615938799999995
210,543241,1,163.041121629999992,-77.615938180000001
211,543242,1,163.041284420000011,-77.615937560000006
212,543243,1,163.041447220000009,-77.615936939999997
213,543244,1,163.041610020000007,-77.615936309999995
214,543839,1,163.040961720000013,-77.615973720000000
215,543840,1,163.041124520000011,-77.615973100000005
216,543841,1,163.041287320000009,-77.615972479999996
217,543842,1,163.041450120000007,-77.615971860000002
218,543843,1,163.041612909999998,-77.615971239999993
219,543844,1,163.041775709999996,-77.615970619999999
220,543845,1,163.041938509999994,-77.615970000000004
221,544447,1,163.041127420000009,-77.616008030000003
222,544448,1,163.041290210000000,-77.616007409999995
