layer,longitude,lattitude
TRUE,163.206673128254,-77.6268701564999
TRUE,163.281979128254,-77.6271144564999
TRUE,163.208955128254,-77.6276728564999
TRUE,163.287032128254,-77.6277775564999
TRUE,163.024439128254,-77.6278473564999
TRUE,163.042695128254,-77.6280218564999
TRUE,163.261441128254,-77.6281614564999
TRUE,163.266820128254,-77.6284755564999
TRUE,163.037642128254,-77.6286500564999
TRUE,163.209933128254,-77.6288943564999
TRUE,163.258018128254,-77.6298366564999
TRUE,163.029329128254,-77.6300111564999
TRUE,163.182223128254,-77.6303252564999
TRUE,163.211563128254,-77.6303601564999
TRUE,163.023950128254,-77.6307091564999
TRUE,163.108873128254,-77.6309534564999
TRUE,163.019060128254,-77.6309883564999
TRUE,163.253128128254,-77.6310232564999
TRUE,163.210585128254,-77.6313024564999
TRUE,163.182875128254,-77.6313373564999
TRUE,163.232590128254,-77.6314071564999
TRUE,163.112785128254,-77.6319306564999
TRUE,163.250194128254,-77.6320004564999
TRUE,163.235850128254,-77.6323843564999
TRUE,163.212541128254,-77.6324192564999
TRUE,163.215964128254,-77.6337803564999
TRUE,163.220691128254,-77.6338501564999
TRUE,163.238947128254,-77.6338501564999
TRUE,163.232101128254,-77.6341991564999
TRUE,163.227211128254,-77.6345132564999
TRUE,163.118164128254,-77.6346179564999
TRUE,163.221506128254,-77.6348622564999
TRUE,163.215638128254,-77.6349669564999
TRUE,163.180756128254,-77.6355951564999
TRUE,163.215312128254,-77.6359441564999
TRUE,163.177007128254,-77.6361535564999
TRUE,163.222973128254,-77.6361884564999
TRUE,163.032589128254,-77.6369213564999
TRUE,163.227863128254,-77.6370958564999
TRUE,163.210259128254,-77.6372005564999
TRUE,163.100886128254,-77.6380381564999
TRUE,163.128596128254,-77.6384220564999
TRUE,163.207325128254,-77.6385616564999
TRUE,163.129574128254,-77.6394690564999
TRUE,163.182386128254,-77.6400623564999
TRUE,163.205532128254,-77.6403066564999
TRUE,163.129411128254,-77.6405509564999
TRUE,163.166249128254,-77.6412838564999
TRUE,163.177170128254,-77.6413187564999
TRUE,163.129248128254,-77.6415979564999
TRUE,163.177170128254,-77.6424006564999
TRUE,163.125173128254,-77.6428892564999
TRUE,163.131041128254,-77.6428892564999
TRUE,163.137072128254,-77.6438664564999
TRUE,163.173421128254,-77.6444946564999
TRUE,163.168531128254,-77.6446342564999
TRUE,163.139843128254,-77.6449832564999
TRUE,163.164293128254,-77.6452973564999
TRUE,163.122728128254,-77.6457161564999
TRUE,163.142451128254,-77.6459604564999
TRUE,163.148808128254,-77.6460302564999
TRUE,163.154513128254,-77.6464490564999
TRUE,163.146200128254,-77.6470423564999
TRUE,163.121587128254,-77.6470772564999
TRUE,163.145548128254,-77.6485430564999
