layer,longitude,lattitude,presence
TRUE,163.0298181,-77.61304976,1
TRUE,163.0329151,-77.61308466,1
TRUE,163.0381311,-77.61308466,1
TRUE,163.0475851,-77.61308466,1
TRUE,163.0340561,-77.61311956,1
TRUE,163.0392721,-77.61315446,1
TRUE,163.0407391,-77.61315446,1
TRUE,163.0484001,-77.61315446,1
TRUE,163.2034131,-77.61315446,1
TRUE,163.0420431,-77.61322426,1
TRUE,163.2021091,-77.61322426,1
TRUE,163.0311221,-77.61325916,1
TRUE,163.0332411,-77.61325916,1
TRUE,163.0348711,-77.61329406,1
TRUE,163.0358491,-77.61329406,1
TRUE,163.0430211,-77.61329406,1
TRUE,163.2572031,-77.61329406,1
TRUE,163.0319371,-77.61332896,1
TRUE,163.1931441,-77.61332896,1
TRUE,163.0492151,-77.61336386,1
TRUE,163.0340561,-77.61339876,1
TRUE,163.0448141,-77.61339876,1
TRUE,163.0528011,-77.61339876,1
TRUE,163.2047171,-77.61339876,1
TRUE,163.0439991,-77.61350346,1
TRUE,163.0501931,-77.61350346,1
TRUE,163.0363381,-77.61353836,1
TRUE,163.1766811,-77.61353836,1
TRUE,163.0351971,-77.61357326,1
TRUE,163.0392721,-77.61357326,1
TRUE,163.1981971,-77.61357326,1
TRUE,163.0407391,-77.61360816,1
TRUE,163.1789631,-77.61364306,1
TRUE,163.0384571,-77.61367796,1
TRUE,163.0417171,-77.61367796,1
TRUE,163.0371531,-77.61371286,1
TRUE,163.2575291,-77.61371286,1
TRUE,163.0360121,-77.61374776,1
TRUE,163.2043911,-77.61374776,1
TRUE,163.0438361,-77.61378266,1
TRUE,163.0404131,-77.61385246,1
TRUE,163.0558981,-77.61385246,1
TRUE,163.0374791,-77.61388736,1
TRUE,163.2029241,-77.61388736,1
TRUE,163.0394351,-77.61392226,1
TRUE,163.0430211,-77.61395716,1
TRUE,163.0417171,-77.61402696,1
TRUE,163.0382941,-77.61406186,1
TRUE,163.2047171,-77.61406186,1
TRUE,163.0803481,-77.61409676,1
TRUE,163.0814891,-77.61409676,1
TRUE,163.1832011,-77.61413166,1
